,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
652,americancancly,1,0,1,1774,0,1774,0,0,0,0,68,4.70E-05,0.000631,0,0,821,0,0.005761,jarrowstevemp
653,AndrewEwen_,2,0,2,4901,0,4901,0,0,0,0,29,5.20E-05,0.000634,0,0,820,0,0.011522,CarlCashman
654,ShittinPants,1,0,1,49,0,49,0,0,0,0,68,4.70E-05,0.000631,0,0,819,0,0.005761,PatCatney
655,HarveyR_Jones,1,0,1,1634,0,1634,0,0,0,0,68,4.70E-05,0.000631,0,0,818,0,0.005761,J_Donaldson_MP
656,KevinPascoe,3,0,3,10718,0,10718,0,0,0,0,68,5.20E-05,0.001978,0,0,817,0,0.017283,Andrew_Hilland
657,PeterMartin55,1,0,1,394,0,394,0,0,0,0,68,4.70E-05,0.000631,0,0,816,0,0.005761,MrMatt_Robinson
658,maudebaclark,1,0,1,153,0,153,0,0,0,0,68,4.70E-05,0.000631,0,0,815,0,0.005761,yorksgreenmarti
659,JaneGebbie68,2,0,2,970,0,970,0,0,0,0,68,4.90E-05,0.001258,0,0,814,0,0.011522,RKilpatrickMCR
660,dmorgan_r,4,0,4,1026,0,1026,0,0,0,0,68,5.00E-05,0.002026,0,0,813,0,0.023044,benjaminsims
661,xxkirsty2805xx,1,0,1,312,0,312,0,0,0,0,68,4.70E-05,0.000631,0,0,812,0,0.005761,rob_pass_green
662,jay_elliott,1,0,1,600,0,600,0,0,0,0,68,4.70E-05,0.000631,0,0,811,0,0.005761,joancoombes
663,jordannd,1,0,1,89,0,89,0,0,0,0,68,4.70E-05,0.000631,0,0,810,0,0.005761,NickyMorgan01
664,mfish_9,1,0,1,2138,0,2138,0,0,0,0,68,4.70E-05,0.000631,0,0,809,0,0.005761,CllrRFM
665,labour_wales,13,0,13,23660,0,23660,0,0,0,0,68,7.10E-05,0.005973,0,0,808,0,0.082194,theresa_may
666,JulieJamesAM,5,0,5,32950,0,32950,0,0,0,0,72,5.90E-05,0.002198,0,0,807,0,0.028805,Greens_JessMayo
667,CTinPorthcawl,1,0,1,238,0,238,0,0,0,0,68,4.70E-05,0.000631,0,0,806,0,0.005761,mcneil_tom
668,LesleyHSmith,2,0,2,614,0,614,0,0,0,0,68,5.00E-05,0.005275,0,0,805,0,0.011522,lm_french
669,handstand100,1,0,1,70,0,70,0,0,0,0,68,4.70E-05,0.000631,0,0,804,0,0.005761,ambervgreens
670,Barnaby_Flynn,2,0,2,251,0,251,0,0,0,0,131,4.90E-05,0.000686,0,0,803,0,0.011522,Mountainin2015
671,MarkCymru,1,0,1,384,0,384,0,0,0,0,68,4.70E-05,0.000631,0,0,802,0,0.005761,sjo400
672,CreweLabour,0,38,38,0,54075,54075,1,1,1,0,41,4.60E-05,0,0.002676,0,870,0,0,Buchanan_dup
673,LabourWin2018,1,0,1,1137,0,1137,0,0,0,0,41,4.70E-05,0.000192,0,0,869,0,0.005761,HuddlestonNigel
674,Lea_Tonkin,1,0,1,337,0,337,0,0,0,0,41,4.70E-05,0.000192,0,0,868,0,0.005761,clmathys
675,RYCBAR_clara_,1,0,1,10416,0,10416,0,0,0,0,41,4.70E-05,0.000192,0,0,867,0,0.005761,DoddsJane
676,Shriz100,1,0,1,892,0,892,0,0,0,0,41,4.70E-05,0.000192,0,0,866,0,0.005761,Douglas4Moray
677,JPMason95,1,0,1,762,0,762,0,0,0,0,41,4.70E-05,0.000192,0,0,865,0,0.005761,cott_nick
678,miltonorourke,1,0,1,4164,0,4164,0,0,0,0,41,4.70E-05,0.000192,0,0,864,0,0.005761,CllrGaston
679,bazmaz_ukulele,1,0,1,3663,0,3663,0,0,0,0,41,4.70E-05,0.000192,0,0,863,0,0.005761,PGibsonSNP
680,bebbington_alan,1,0,1,85,0,85,0,0,0,0,41,4.70E-05,0.000192,0,0,862,0,0.005761,scottmann4NC
681,magwagb,1,0,1,378,0,378,0,0,0,0,41,4.70E-05,0.000192,0,0,861,0,0.005761,markcann
682,simonalan81,1,0,1,988,0,988,0,0,0,0,41,4.70E-05,0.000192,0,0,860,0,0.005761,PeterNorthDevon
683,AeonicCurrent,2,0,2,1470,0,1470,0,0,0,0,131,4.80E-05,0.000271,0,0,859,0,0.011522,greenknight49
684,JulietDavies,1,0,1,619,0,619,0,0,0,0,41,4.70E-05,0.000192,0,0,858,0,0.005761,juliman66
685,warriornan28815,1,0,1,475,0,475,0,0,0,0,41,4.70E-05,0.000192,0,0,857,0,0.005761,NESGreenParty
686,DamianBailey13,1,0,1,2916,0,2916,0,0,0,0,41,4.70E-05,0.000192,0,0,856,0,0.005761,jeanie4northhfd
